voltage,name,idx,sh_terminals,trafos
220.0,Subestació de Sentmenat,ElmTerm_0010,"LINESTRING (2.11170970097548 41.62364094766779, 2.11128977157421 41.62362030384241, 2.110873886210803 41.6235585711776, 2.110466050093514 41.62345634419268, 2.110070190914973 41.62331460738937, 2.109690121026057 41.6231347257706, 2.109329500720456 41.62291843169468, 2.108991802983551 41.62266780819179, 2.108680280045097 41.62238526890327, 2.108397932057869 41.62207353483694, 2.108147478203901 41.62173560816223, 2.107931330506653 41.62137474329779, 2.107751570601289 41.6209944155695, 2.107609929686829 41.62059828774132, 2.107507771853267 41.62019017474075, 2.107446080944228 41.61977400691911, 2.107425451081721 41.61935379220001, 2.107446080944228 41.61893357748092, 2.107507771853267 41.61851740965928, 2.107609929686829 41.61810929665871, 2.107751570601289 41.61771316883052, 2.107931330506653 41.61733284110223, 2.108147478203901 41.61697197623779, 2.108397932057869 41.61663404956308, 2.108680280045097 41.61632231549675, 2.108991802983551 41.61603977620823, 2.109329500720456 41.61578915270534, 2.109690121026057 41.61557285862941, 2.110070190914973 41.61539297701064, 2.110466050093514 41.61525124020734, 2.110873886210803 41.61514901322241, 2.11128977157421 41.61508728055761, 2.11170970097548 41.61506663673223, 2.112129630263265 41.61508728055761, 2.112545515290579 41.61514901322241, 2.112953350862082 41.61525124020734, 2.113349209306118 41.61539297701064, 2.113729278300037 41.61557285862941, 2.114089897584543 41.61578915270534, 2.114427594213497 41.61603977620823, 2.114739115999718 41.61632231549675, 2.115021462834715 41.61663404956308, 2.115271915580732 41.61697197623779, 2.115488062256885 41.61733284110223, 2.115667821267253 41.61771316883052, 2.115809461447207 41.61810929665871, 2.115911618734983 41.61851740965928, 2.115973309307928 41.61893357748092, 2.115993939056951 41.61935379220001, 2.115973309307928 41.61977400691911, 2.115911618734983 41.62019017474075, 2.115809461447207 41.62059828774132, 2.115667821267253 41.6209944155695, 2.115488062256885 41.62137474329779, 2.115271915580732 41.62173560816223, 2.115021462834715 41.62207353483694, 2.114739115999718 41.62238526890327, 2.114427594213497 41.62266780819179, 2.114089897584543 41.62291843169468, 2.113729278300037 41.6231347257706, 2.113349209306118 41.62331460738937, 2.112953350862082 41.62345634419268, 2.112545515290579 41.6235585711776, 2.112129630263265 41.62362030384241, 2.11170970097548 41.62364094766779)",['ElmTr2_0008']
380.0,added terminal voltage,ElmTerm_0086,"LINESTRING (0.5710315493804087 41.20891403248046, 0.5705960965452778 41.20889263899277, 0.570164837326507 41.20882866456068, 0.5697419249875526 41.20872272529296, 0.5693314324077289 41.20857584144264, 0.5689373128580644 41.20838942758152, 0.5685633619290219 41.20816527897698, 0.5682131809767428 41.20790555430262, 0.5678901424398547 41.20761275484901, 0.5675973573608658 41.20728970043498, 0.5673376454249419 41.2069395022511, 0.5671135078046124 41.20656553289736, 0.5669271030719358 41.20617139390304, 0.5667802264101084 41.20576088104213, 0.566674292324727 41.20533794777788, 0.5666103210212111 41.20490666718882, 0.5665889285795797 41.20447119274279, 0.5666103210212111 41.20403571829676, 0.566674292324727 41.2036044377077, 0.5667802264101084 41.20318150444344, 0.5669271030719358 41.20277099158253, 0.5671135078046124 41.20237685258821, 0.5673376454249419 41.20200288323446, 0.5675973573608658 41.2016526850506, 0.5678901424398547 41.20132963063656, 0.5682131809767428 41.20103683118295, 0.5685633619290219 41.20077710650858, 0.5689373128580644 41.20055295790404, 0.5693314324077289 41.20036654404294, 0.5697419249875526 41.20021966019262, 0.570164837326507 41.20011372092489, 0.5705960965452778 41.2000497464928, 0.5710315493804087 41.20002835300512, 0.5714670021825549 41.2000497464928, 0.5718982613036394 41.20011372092489, 0.5723211734839599 41.20021966019262, 0.5727316658502984 41.20036654404294, 0.5731257851398305 41.20055295790404, 0.5734997357720898 41.20077710650858, 0.5738499164023403 41.20103683118295, 0.5741729546043302 41.20132963063656, 0.5744657393484204 41.2016526850506, 0.5747254509623159 41.20200288323446, 0.5749495882858622 41.20237685258821, 0.5751359927584063 41.20277099158253, 0.5752828692067485 41.20318150444344, 0.5753888031334957 41.2036044377077, 0.5754527743393254 41.20403571829676, 0.5754741667479724 41.20447119274279, 0.5754527743393254 41.20490666718882, 0.5753888031334957 41.20533794777788, 0.5752828692067485 41.20576088104213, 0.5751359927584063 41.20617139390304, 0.5749495882858622 41.20656553289736, 0.5747254509623159 41.2069395022511, 0.5744657393484204 41.20728970043498, 0.5741729546043302 41.20761275484901, 0.5738499164023403 41.20790555430262, 0.5734997357720898 41.20816527897698, 0.5731257851398305 41.20838942758152, 0.5727316658502986 41.20857584144264, 0.5723211734839599 41.20872272529296, 0.5718982613036395 41.20882866456068, 0.5714670021825549 41.20889263899277, 0.5710315493804087 41.20891403248046, 0.5710315493804087 41.20891403248046)",['ElmTr2_0002']
380.0,added terminal voltage,ElmTerm_0087,"LINESTRING (2.11170970097548 41.62364094766779, 2.11128977157421 41.62362030384241, 2.110873886210803 41.6235585711776, 2.110466050093514 41.62345634419268, 2.110070190914973 41.62331460738937, 2.109690121026057 41.6231347257706, 2.109329500720456 41.62291843169468, 2.108991802983551 41.62266780819179, 2.108680280045097 41.62238526890327, 2.108397932057869 41.62207353483694, 2.108147478203901 41.62173560816223, 2.107931330506653 41.62137474329779, 2.107751570601289 41.6209944155695, 2.107609929686829 41.62059828774132, 2.107507771853267 41.62019017474075, 2.107446080944228 41.61977400691911, 2.107425451081721 41.61935379220001, 2.107446080944228 41.61893357748092, 2.107507771853267 41.61851740965928, 2.107609929686829 41.61810929665871, 2.107751570601289 41.61771316883052, 2.107931330506653 41.61733284110223, 2.108147478203901 41.61697197623779, 2.108397932057869 41.61663404956308, 2.108680280045097 41.61632231549675, 2.108991802983551 41.61603977620823, 2.109329500720456 41.61578915270534, 2.109690121026057 41.61557285862941, 2.110070190914973 41.61539297701064, 2.110466050093514 41.61525124020734, 2.110873886210803 41.61514901322241, 2.11128977157421 41.61508728055761, 2.11170970097548 41.61506663673223, 2.112129630263265 41.61508728055761, 2.112545515290579 41.61514901322241, 2.112953350862082 41.61525124020734, 2.113349209306118 41.61539297701064, 2.113729278300037 41.61557285862941, 2.114089897584543 41.61578915270534, 2.114427594213497 41.61603977620823, 2.114739115999718 41.61632231549675, 2.115021462834715 41.61663404956308, 2.115271915580732 41.61697197623779, 2.115488062256885 41.61733284110223, 2.115667821267253 41.61771316883052, 2.115809461447207 41.61810929665871, 2.115911618734983 41.61851740965928, 2.115973309307928 41.61893357748092, 2.115993939056951 41.61935379220001, 2.115973309307928 41.61977400691911, 2.115911618734983 41.62019017474075, 2.115809461447207 41.62059828774132, 2.115667821267253 41.6209944155695, 2.115488062256885 41.62137474329779, 2.115271915580732 41.62173560816223, 2.115021462834715 41.62207353483694, 2.114739115999718 41.62238526890327, 2.114427594213497 41.62266780819179, 2.114089897584543 41.62291843169468, 2.113729278300037 41.6231347257706, 2.113349209306118 41.62331460738937, 2.112953350862082 41.62345634419268, 2.112545515290579 41.6235585711776, 2.112129630263265 41.62362030384241, 2.11170970097548 41.62364094766779)",['ElmTr2_0008']
380.0,added terminal voltage,ElmTerm_0088,"LINESTRING (1.829640231633169 41.52605521955167, 1.82935890427245 41.52604139177605, 1.82908028620452 41.52600004161823, 1.82880706067557 41.52593156730285, 1.828541858999863 41.52583662827497, 1.828287235218628 41.52571613884937, 1.828045641503082 41.52557125940504, 1.827819404538489 41.52540338521025, 1.827610703116695 41.52521413298525, 1.827421547152926 41.52500532533247, 1.827253758328961 41.52477897318369, 1.827108952549096 41.52453725643387, 1.82698852437786 41.52428250294744, 1.826893633609379 41.52401716613974, 1.826825194097732 41.52374380134928, 1.826783864955881 41.52346504122843, 1.826770044207933 41.52318357038952, 1.826783864955881 41.52290209955062, 1.826825194097732 41.52262333942976, 1.826893633609378 41.5223499746393, 1.82698852437786 41.52208463783161, 1.827108952549096 41.52182988434518, 1.827253758328961 41.52158816759537, 1.827421547152926 41.52136181544659, 1.827610703116695 41.52115300779379, 1.827819404538489 41.5209637555688, 1.828045641503082 41.52079588137402, 1.828287235218628 41.52065100192969, 1.828541858999863 41.52053051250407, 1.82880706067557 41.5204355734762, 1.82908028620452 41.52036709916081, 1.82935890427245 41.52032574900301, 1.829640231633169 41.52031192122739, 1.829921558949762 41.52032574900301, 1.83020017688701 41.52036709916081, 1.830473402203745 41.5204355734762, 1.830738603593858 41.52053051250407, 1.830993227027096 41.52065100192969, 1.831234820345616 41.52079588137401, 1.831461056879409 41.5209637555688, 1.831669757853187 41.52115300779379, 1.831858913368941 41.52136181544659, 1.832026701762106 41.52158816759537, 1.832171507144944 41.52182988434518, 1.832291934968183 41.52208463783161, 1.832386825451071 41.5223499746393, 1.832455264750503 41.52262333942976, 1.832496593761673 41.52290209955062, 1.832510414465495 41.52318357038952, 1.832496593761673 41.52346504122843, 1.832455264750503 41.52374380134928, 1.832386825451071 41.52401716613974, 1.832291934968183 41.52428250294744, 1.832171507144944 41.52453725643387, 1.832026701762106 41.52477897318369, 1.831858913368941 41.52500532533247, 1.831669757853187 41.52521413298525, 1.831461056879409 41.52540338521025, 1.831234820345616 41.52557125940503, 1.830993227027096 41.52571613884937, 1.830738603593858 41.52583662827497, 1.830473402203745 41.52593156730285, 1.83020017688701 41.52600004161823, 1.829921558949762 41.52604139177605, 1.829640231633169 41.52605521955167)",['ElmTr2_0007']
220.0,Subestació de Pierola,ElmTerm_0006,"LINESTRING (1.829640231633169 41.52605521955167, 1.82935890427245 41.52604139177605, 1.82908028620452 41.52600004161823, 1.82880706067557 41.52593156730285, 1.828541858999863 41.52583662827497, 1.828287235218628 41.52571613884937, 1.828045641503082 41.52557125940504, 1.827819404538489 41.52540338521025, 1.827610703116695 41.52521413298525, 1.827421547152926 41.52500532533247, 1.827253758328961 41.52477897318369, 1.827108952549096 41.52453725643387, 1.82698852437786 41.52428250294744, 1.826893633609379 41.52401716613974, 1.826825194097732 41.52374380134928, 1.826783864955881 41.52346504122843, 1.826770044207933 41.52318357038952, 1.826783864955881 41.52290209955062, 1.826825194097732 41.52262333942976, 1.826893633609378 41.5223499746393, 1.82698852437786 41.52208463783161, 1.827108952549096 41.52182988434518, 1.827253758328961 41.52158816759537, 1.827421547152926 41.52136181544659, 1.827610703116695 41.52115300779379, 1.827819404538489 41.5209637555688, 1.828045641503082 41.52079588137402, 1.828287235218628 41.52065100192969, 1.828541858999863 41.52053051250407, 1.82880706067557 41.5204355734762, 1.82908028620452 41.52036709916081, 1.82935890427245 41.52032574900301, 1.829640231633169 41.52031192122739, 1.829921558949762 41.52032574900301, 1.83020017688701 41.52036709916081, 1.830473402203745 41.5204355734762, 1.830738603593858 41.52053051250407, 1.830993227027096 41.52065100192969, 1.831234820345616 41.52079588137401, 1.831461056879409 41.5209637555688, 1.831669757853187 41.52115300779379, 1.831858913368941 41.52136181544659, 1.832026701762106 41.52158816759537, 1.832171507144944 41.52182988434518, 1.832291934968183 41.52208463783161, 1.832386825451071 41.5223499746393, 1.832455264750503 41.52262333942976, 1.832496593761673 41.52290209955062, 1.832510414465495 41.52318357038952, 1.832496593761673 41.52346504122843, 1.832455264750503 41.52374380134928, 1.832386825451071 41.52401716613974, 1.832291934968183 41.52428250294744, 1.832171507144944 41.52453725643387, 1.832026701762106 41.52477897318369, 1.831858913368941 41.52500532533247, 1.831669757853187 41.52521413298525, 1.831461056879409 41.52540338521025, 1.831234820345616 41.52557125940503, 1.830993227027096 41.52571613884937, 1.830738603593858 41.52583662827497, 1.830473402203745 41.52593156730285, 1.83020017688701 41.52600004161823, 1.829921558949762 41.52604139177605, 1.829640231633169 41.52605521955167)",['ElmTr2_0007']
220.0,Subestació transformadora de Rubió,ElmTerm_0035,"LINESTRING (1.591513371295794 41.65030255508524, 1.591337338630349 41.65029390381799, 1.591163001240893 41.65026803333266, 1.590992038092432 41.65022519277616, 1.590826095654583 41.65016579472648, 1.59066677204514 41.65009041121931, 1.590515601639263 41.64999976823903, 1.590374040292543 41.64989473872708, 1.59024345132025 41.64977633417509, 1.590125092367769 41.64964569488362, 1.590020103298708 41.64950407898045, 1.589929495217307 41.64935285030415, 1.589854140730867 41.64919346526955, 1.58979476554599 41.64902745884165, 1.589751941479562 41.6488564297531, 1.589726080951795 41.64868202510753, 1.589717433014344 41.648505924517, 1.589726080951795 41.64832982392647, 1.589751941479562 41.6481554192809, 1.58979476554599 41.64798439019236, 1.589854140730867 41.64781838376447, 1.589929495217307 41.64765899872985, 1.590020103298708 41.64750777005355, 1.590125092367769 41.6473661541504, 1.59024345132025 41.64723551485891, 1.590374040292543 41.64711711030693, 1.590515601639263 41.64701208079498, 1.59066677204514 41.6469214378147, 1.590826095654583 41.64684605430752, 1.590992038092432 41.64678665625784, 1.591163001240893 41.64674381570135, 1.591337338630349 41.64671794521602, 1.591513371295794 41.64670929394877, 1.591689403946212 41.64671794521602, 1.591863741291165 41.64674381570135, 1.592034704367358 41.64678665625784, 1.59220064670795 41.64684605430752, 1.592359970198885 41.6469214378147, 1.592511140469558 41.64701208079498, 1.592652701669572 41.64711711030693, 1.592783290489296 41.64723551485891, 1.59290164928921 41.6473661541504, 1.593006638211565 41.64750777005355, 1.593097246157761 41.64765899872985, 1.593172600525693 41.64781838376447, 1.593231975613314 41.64798439019236, 1.593274799607473 41.6481554192809, 1.593300660090739 41.64832982392647, 1.593309308013162 41.648505924517, 1.593300660090739 41.64868202510753, 1.593274799607473 41.6488564297531, 1.593231975613314 41.64902745884165, 1.593172600525693 41.64919346526955, 1.593097246157761 41.64935285030415, 1.593006638211565 41.64950407898045, 1.59290164928921 41.64964569488362, 1.592783290489296 41.64977633417509, 1.592652701669572 41.64989473872708, 1.592511140469559 41.64999976823903, 1.592359970198885 41.65009041121931, 1.59220064670795 41.65016579472648, 1.592034704367358 41.65022519277616, 1.591863741291165 41.65026803333266, 1.591689403946212 41.65029390381799, 1.591513371295794 41.65030255508524)",[]
220.0, ,ElmTerm_0012,"LINESTRING (2.185749151071272 41.57009856625682, 2.185537128028148 41.57008814264951, 2.185327146853321 41.57005697221258, 2.185121229781572 41.57000535513441, 2.184921359908944 41.56993378851565, 2.184729462094361 41.56984296158198, 2.184547384422083 41.56973374904643, 2.184376880403507 41.56960720268539, 2.184219592089746 41.56946454120951, 2.184077034257622 41.5693071385268, 2.183950579821365 41.56913651051114, 2.183841446610527 41.56895430040357, 2.183750685641467 41.56876226298704, 2.183679170995327 41.56856224768688, 2.183627591400034 41.56835618075973, 2.183596443597357 41.56814604674277, 2.18358602755894 41.56793386934145, 2.183596443597357 41.56772169194011, 2.183627591400034 41.56751155792315, 2.183679170995327 41.56730549099601, 2.183750685641467 41.56710547569584, 2.183841446610527 41.56691343827932, 2.183950579821365 41.56673122817174, 2.184077034257622 41.56656060015608, 2.184219592089746 41.56640319747337, 2.184376880403507 41.56626053599749, 2.184547384422083 41.56613398963646, 2.184729462094361 41.5660247771009, 2.184921359908944 41.56593395016723, 2.185121229781572 41.56586238354848, 2.185327146853321 41.56581076647031, 2.185537128028148 41.56577959603337, 2.185749151071272 41.56576917242606, 2.185961174084451 41.56577959603337, 2.186171155170593 41.56581076647031, 2.186377072098324 41.56586238354848, 2.186576941777137 41.56593395016723, 2.186768839355555 41.5660247771009, 2.186950916758394 41.56613398963646, 2.187121420484613 41.56626053599749, 2.187278708494331 41.56640319747337, 2.187421266022413 41.56656060015608, 2.187547720166313 41.56673122817174, 2.187656853107712 41.56691343827932, 2.187747613840608 41.56710547569584, 2.187819128292932 41.56730549099601, 2.187870707744207 41.56751155792315, 2.187901855458198 41.56772169194011, 2.187912271466669 41.56793386934145, 2.187901855458198 41.56814604674277, 2.187870707744207 41.56835618075973, 2.187819128292932 41.56856224768688, 2.187747613840608 41.56876226298704, 2.187656853107712 41.56895430040357, 2.187547720166313 41.56913651051114, 2.187421266022413 41.5693071385268, 2.187278708494331 41.56946454120951, 2.187121420484613 41.56960720268539, 2.186950916758394 41.56973374904643, 2.186768839355555 41.56984296158198, 2.186576941777137 41.56993378851565, 2.186377072098324 41.57000535513441, 2.186171155170593 41.57005697221258, 2.185961174084451 41.57008814264951, 2.185749151071272 41.57009856625682)",[]
220.0,Subestació de Sant Celoni,ElmTerm_0013,"LINESTRING (2.47067748748625 41.70844166582269, 2.470501386420832 41.70843300648308, 2.470326981281926 41.70840711185842, 2.470155951687354 41.7083642313281, 2.469989944747226 41.70830477785507, 2.469830559201301 41.70822932400877, 2.469679330022168 41.70813859645099, 2.469537713632518 41.70803346893772, 2.469407073878879 41.70791495390437, 2.469288668896911 41.7077841927155, 2.469183638994728 41.70764244467283, 2.469092995670985 41.70749107488752, 2.469017611873465 41.70733154113334, 2.468958213591996 41.70716537980754, 2.468915372866676 41.70699419113453, 2.468889502278723 41.70681962375482, 2.468880850977039 41.70664335884769, 2.468889502278723 41.70646709394057, 2.468915372866676 41.70629252656086, 2.468958213591996 41.70612133788785, 2.469017611873465 41.70595517656206, 2.469092995670985 41.70579564280787, 2.469183638994728 41.70564427302256, 2.469288668896911 41.70550252497989, 2.469407073878879 41.70537176379102, 2.469537713632518 41.70525324875766, 2.469679330022168 41.70514812124439, 2.469830559201301 41.70505739368662, 2.469989944747226 41.70498193984032, 2.470155951687354 41.70492248636728, 2.470326981281926 41.70487960583696, 2.470501386420832 41.70485371121231, 2.47067748748625 41.7048450518727, 2.470853588528313 41.70485371121231, 2.471027993598054 41.70487960583696, 2.471199023080308 41.70492248636728, 2.471365029869282 41.70498193984032, 2.471524415231025 41.70505739368662, 2.471675644200027 41.70514812124439, 2.47181726036167 41.70525324875766, 2.471947899878189 41.70537176379102, 2.472066304623039 41.70550252497989, 2.472171334297216 41.70564427302256, 2.472261977410827 41.70579564280787, 2.472337361024165 41.70595517656206, 2.47239675915448 41.70612133788785, 2.472439599767482 41.70629252656086, 2.47246547028627 41.70646709394057, 2.472474121564599 41.70664335884769, 2.47246547028627 41.70681962375482, 2.472439599767482 41.70699419113453, 2.47239675915448 41.70716537980754, 2.472337361024165 41.70733154113334, 2.472261977410827 41.70749107488752, 2.472171334297216 41.70764244467283, 2.472066304623039 41.7077841927155, 2.471947899878189 41.70791495390437, 2.47181726036167 41.70803346893772, 2.471675644200027 41.70813859645099, 2.471524415231025 41.70822932400877, 2.471365029869282 41.70830477785507, 2.471199023080308 41.7083642313281, 2.471027993598054 41.70840711185842, 2.470853588528313 41.70843300648308, 2.47067748748625 41.70844166582269)",[]
380.0,added terminal voltage,ElmTerm_0089,"LINESTRING (2.028090983334561 41.32853083691833, 2.027782656946291 41.32851568032147, 2.027477299851788 41.3284703564972, 2.027177852809312 41.32839530193873, 2.02688719966165 41.32829123946248, 2.026608139562983 41.32815917124697, 2.026343360021285 41.32800036918135, 2.026095411015897 41.3278163626163, 2.02586668043954 41.32760892363562, 2.025659371101288 41.3273800499901, 2.025475479511977 41.32713194585807, 2.025316776656388 41.32686700061793, 2.025184790937382 41.3265877658372, 2.025080793456244 41.32629693069943, 2.02500578577104 41.32599729610602, 2.024960490250841 41.32569174770188, 2.024945343118774 41.32538322808519, 2.024960490250841 41.32507470846849, 2.02500578577104 41.32476916006436, 2.025080793456244 41.32446952547094, 2.025184790937382 41.32417869033318, 2.025316776656388 41.32389945555244, 2.025475479511977 41.32363451031231, 2.025659371101288 41.32338640618027, 2.02586668043954 41.32315753253476, 2.026095411015897 41.32295009355408, 2.026343360021285 41.32276608698902, 2.026608139562983 41.3226072849234, 2.02688719966165 41.3224752167079, 2.027177852809312 41.32237115423165, 2.027477299851788 41.32229609967318, 2.027782656946291 41.32225077584891, 2.028090983334561 41.32223561925205, 2.028399309664076 41.32225077584891, 2.028704666584571 41.32229609967318, 2.029004113344476 41.32237115423165, 2.029294766111859 41.3224752167079, 2.029573825747156 41.3226072849234, 2.0298386047602 41.32276608698902, 2.030086553191963 41.32295009355408, 2.030315283171769 41.32315753253476, 2.030522591913472 41.32338640618027, 2.030706482929159 41.32363451031231, 2.030865185256092 41.32389945555244, 2.030997170511728 41.32417869033318, 2.031101167612587 41.32446952547094, 2.03117617501522 41.32476916006436, 2.03122147036141 41.32507470846849, 2.031236617434724 41.32538322808519, 2.03122147036141 41.32569174770188, 2.03117617501522 41.32599729610602, 2.031101167612587 41.32629693069943, 2.030997170511728 41.3265877658372, 2.030865185256092 41.32686700061793, 2.030706482929159 41.32713194585807, 2.030522591913472 41.3273800499901, 2.030315283171769 41.32760892363562, 2.030086553191963 41.3278163626163, 2.0298386047602 41.32800036918135, 2.029573825747156 41.32815917124697, 2.029294766111859 41.32829123946248, 2.029004113344476 41.32839530193873, 2.028704666584571 41.3284703564972, 2.028399309664076 41.32851568032147, 2.028090983334561 41.32853083691833)",['ElmTr2_0004']
220.0,Subestació de Santa Coloma,ElmTerm_0050,"LINESTRING (2.191010041684998 41.46268478959345, 2.19078391899079 41.46267367277145, 2.190559973948091 41.46264042936654, 2.190340363271541 41.46258537953088, 2.190127201934375 41.46250905342448, 2.189922542799979 41.46241218610946, 2.189728356851575 41.46229571047102, 2.189546514210419 41.46216074823324, 2.189378766125352 41.46200859915624, 2.189226728107122 41.46184072851881, 2.189091864369947 41.46165875300694, 2.188975473730135 41.46146442514431, 2.188878677097594 41.46125961641445, 2.188802406680685 41.4610462992374, 2.188747397008393 41.46082652797417, 2.188714177856297 41.46060241914218, 2.188703069144446 41.46037613103199, 2.188714177856297 41.4601498429218, 2.188747397008393 41.45992573408981, 2.188802406680685 41.45970596282658, 2.188878677097594 41.45949264564953, 2.188975473730135 41.45928783691967, 2.189091864369947 41.45909350905704, 2.189226728107122 41.45891153354518, 2.189378766125352 41.45874366290774, 2.189546514210419 41.45859151383075, 2.189728356851575 41.45845655159296, 2.189922542799979 41.45834007595452, 2.190127201934375 41.4582432086395, 2.190340363271541 41.45816688253311, 2.190559973948091 41.45811183269743, 2.19078391899079 41.45807858929253, 2.191010041684998 41.45806747247053, 2.191236164345063 41.45807858929253, 2.191460109286647 41.45811183269743, 2.191679719798992 41.45816688253311, 2.191892880915177 41.4582432086395, 2.192097539780306 41.45834007595452, 2.192291725421507 41.45845655159296, 2.192473567729327 41.45859151383075, 2.192641315467736 41.45874366290774, 2.192793353139308 41.45891153354518, 2.192928216543148 41.45909350905704, 2.193044606875755 41.45928783691967, 2.19314140323903 41.45949264564953, 2.193217673434958 41.45970596282658, 2.193272682943046 41.45992573408981, 2.193305901994025 41.4601498429218, 2.193317010671734 41.46037613103199, 2.193305901994025 41.46060241914218, 2.193272682943046 41.46082652797417, 2.193217673434958 41.4610462992374, 2.19314140323903 41.46125961641445, 2.193044606875755 41.46146442514431, 2.192928216543148 41.46165875300694, 2.192793353139308 41.46184072851881, 2.192641315467736 41.46200859915624, 2.192473567729327 41.46216074823324, 2.192291725421507 41.46229571047102, 2.192097539780306 41.46241218610946, 2.191892880915177 41.46250905342448, 2.191679719798992 41.46258537953088, 2.191460109286647 41.46264042936654, 2.191236164345064 41.46267367277145, 2.191010041684998 41.46268478959345)",[]
