voltage,name,Area,Zone,idx,sh_terminals,trafos
110.0,Umspannwerk Thaur,AT33,AT332,ElmTerm_0011,"LINESTRING (11.47136470023042 47.27498505104887, 11.47115877508612 47.27497472839591, 11.47095483296549 47.27494385984983, 11.47075483794907 47.27489274269159, 11.47056071610859 47.27482186920737, 11.47037433695748 47.27473192194758, 11.47019749544592 47.27462376715349, 11.47003189467379 47.2744984464149, 11.46987912948816 47.27435716663902, 11.46974067112325 47.27420128842731, 11.46961785303075 47.27403231297219, 11.46951185803714 47.27385186759966, 11.46942370695161 47.27366169009727, 11.46935424873435 47.27346361197836, 11.46930415231997 47.27325954084348, 11.46927390017471 47.27305144200923, 11.46926378364969 47.27284131958113, 11.46927390017471 47.27263119715303, 11.46930415231997 47.27242309831878, 11.46935424873435 47.27221902718389, 11.46942370695161 47.27202094906499, 11.46951185803714 47.2718307715626, 11.46961785303075 47.27165032619006, 11.46974067112325 47.27148135073495, 11.46987912948816 47.27132547252324, 11.47003189467379 47.27118419274737, 11.47019749544592 47.27105887200877, 11.47037433695748 47.27095071721468, 11.47056071610859 47.27086076995489, 11.47075483794907 47.27078989647067, 11.47095483296549 47.27073877931243, 11.47115877508612 47.27070791076635, 11.47136470023042 47.27069758811339, 11.47157062522453 47.27070791076635, 11.47177456690035 47.27073877931243, 11.47197456119445 47.27078989647067, 11.47216868206285 47.27086076995489, 11.47235506002947 47.27095071721468, 11.47253190018967 47.27105887200877, 11.47269749949548 47.27118419274737, 11.47285026315618 47.27132547252324, 11.47298871999617 47.27148135073495, 11.47311153662235 47.27165032619006, 11.47321753026459 47.2718307715626, 11.47330568016564 47.27202094906499, 11.47337513741081 47.27221902718389, 11.47342523310287 47.27242309831878, 11.47345548480333 47.27263119715303, 11.47346560117816 47.27284131958113, 11.47345548480333 47.27305144200923, 11.47342523310287 47.27325954084348, 11.47337513741081 47.27346361197836, 11.47330568016564 47.27366169009727, 11.47321753026459 47.27385186759966, 11.47311153662235 47.27403231297219, 11.47298871999617 47.27420128842731, 11.47285026315618 47.27435716663902, 11.47269749949548 47.2744984464149, 11.47253190018967 47.27462376715349, 11.47235506002947 47.27473192194758, 11.47216868206285 47.27482186920737, 11.47197456119445 47.27489274269159, 11.47177456690035 47.27494385984983, 11.47157062522453 47.27497472839591, 11.47136470023042 47.27498505104887)",['ElmTr2_0015']
110.0,Umspannwerk Katzbach,AT31,AT312,ElmTerm_0061,"LINESTRING (14.32488211830155 48.32593228732375, 14.32471149289975 48.3259236360565, 14.32454251058596 48.32589776557117, 14.32437679875776 48.32585492501467, 14.32421595331965 48.325795526965, 14.32406152331321 48.32572014345781, 14.32391499599855 48.32562950047754, 14.32377778253064 48.3255244709656, 14.32365120436841 48.32540606641361, 14.32353648054772 48.32527542712212, 14.32343471594066 48.32513381121896, 14.32334689061426 48.32498258254266, 14.32327385039124 48.32482319750806, 14.3232162987036 48.32465719108016, 14.32317478981765 48.32448616199162, 14.32314972349563 48.32431175734605, 14.32314134114546 48.32413565675552, 14.32314972349563 48.32395955616499, 14.32317478981765 48.32378515151941, 14.3232162987036 48.32361412243087, 14.32327385039124 48.32344811600297, 14.32334689061426 48.32328873096836, 14.32343471594066 48.32313750229206, 14.32353648054772 48.3229958863889, 14.32365120436841 48.32286524709743, 14.32377778253064 48.32274684254543, 14.32391499599855 48.32264181303349, 14.32406152331321 48.3225511700532, 14.32421595331965 48.32247578654603, 14.32437679875776 48.32241638849635, 14.32454251058596 48.32237354793985, 14.32471149289975 48.32234767745453, 14.32488211830155 48.32233902618728, 14.32505274357361 48.32234767745453, 14.32522172550313 48.32237354793985, 14.3253874367073 48.32241638849635, 14.32554828130562 48.32247578654603, 14.32570271028877 48.3225511700532, 14.32584923643596 48.32264181303349, 14.3259864486371 48.32274684254543, 14.32611302548193 48.32286524709743, 14.32622774798522 48.3229958863889, 14.3263295113255 48.32313750229206, 14.32641733548443 48.32328873096836, 14.32649037468416 48.32344811600297, 14.32654792553201 48.32361412243087, 14.32658943379394 48.32378515151941, 14.32661449973168 48.32395955616499, 14.3266228819521 48.32413565675552, 14.32661449973168 48.32431175734605, 14.32658943379394 48.32448616199162, 14.32654792553201 48.32465719108016, 14.32649037468416 48.32482319750806, 14.32641733548443 48.32498258254266, 14.3263295113255 48.32513381121896, 14.32622774798522 48.32527542712212, 14.32611302548193 48.32540606641361, 14.3259864486371 48.3255244709656, 14.32584923643596 48.32562950047754, 14.32570271028877 48.32572014345781, 14.32554828130562 48.325795526965, 14.3253874367073 48.32585492501467, 14.32522172550313 48.32589776557117, 14.32505274357361 48.3259236360565, 14.32488211830155 48.32593228732375)",[]
220.0,APG Umspannwerk Westtirol,AT33,AT334,ElmTerm_0523,"LINESTRING (10.87384519872203 47.24894774765526, 10.87339268672348 47.24892511073567, 10.87294453198624 47.24885741798283, 10.8725050505147 47.24874532131496, 10.87207847480326 47.24858990028422, 10.87166891307318 47.24839265168013, 10.87128030970581 47.24815547511457, 10.87091640725293 47.24788065472751, 10.87058071039061 47.2475708371895, 10.87027645216348 47.24722900621281, 10.87000656284497 47.24685845381661, 10.86977364171321 47.24646274862303, 10.86957993201496 47.24604570148941, 10.86942729935845 47.24561132880761, 10.86931721374354 47.24516381382404, 10.86925073540243 47.24470746635259, 10.86922850458713 47.2442466812689, 10.86925073540243 47.24378589618521, 10.86931721374354 47.24332954871376, 10.86942729935845 47.24288203373018, 10.86957993201496 47.24244766104839, 10.86977364171321 47.24203061391476, 10.87000656284497 47.24163490872119, 10.87027645216348 47.24126435632499, 10.87058071039061 47.2409225253483, 10.87091640725293 47.24061270781029, 10.87128030970581 47.24033788742323, 10.87166891307318 47.24010071085765, 10.87207847480326 47.23990346225357, 10.8725050505147 47.23974804122283, 10.87294453198624 47.23963594455496, 10.87339268672348 47.23956825180213, 10.87384519872203 47.23954561488254, 10.87429771003405 47.23956825180213, 10.87474586273811 47.23963594455496, 10.87518534090792 47.23974804122283, 10.875611912176 47.23990346225357, 10.87602146849181 47.24010071085765, 10.8764100656821 47.24033788742323, 10.87677396143245 47.24061270781029, 10.87710965132437 47.2409225253483, 10.8774139025811 47.24126435632499, 10.87768378519709 47.24163490872119, 10.87791670015176 47.24203061391476, 10.87811040443574 47.24244766104839, 10.87826303264889 47.24288203373018, 10.87837311496207 47.24332954871376, 10.87843959127 47.24378589618521, 10.87846182139878 47.2442466812689, 10.87843959127 47.24470746635259, 10.87837311496207 47.24516381382404, 10.87826303264889 47.24561132880761, 10.87811040443574 47.24604570148941, 10.87791670015176 47.24646274862303, 10.87768378519709 47.24685845381661, 10.8774139025811 47.24722900621281, 10.87710965132437 47.2475708371895, 10.87677396143245 47.24788065472751, 10.8764100656821 47.24815547511457, 10.87602146849181 47.24839265168013, 10.875611912176 47.24858990028422, 10.87518534090792 47.24874532131496, 10.87474586273811 47.24885741798283, 10.87429771003405 47.24892511073567, 10.87384519872203 47.24894774765526)",['ElmTr2_0012']
220.0,Umspannwerk Zell am Ziller,AT33,AT335,ElmTerm_0428,"LINESTRING (11.89784380770273 47.23570144050746, 11.8976276064135 47.235690586034, 11.89741348709145 47.23565812714813, 11.89720351183006 47.23560437644667, 11.89699970281777 47.23552985157824, 11.89680402286281 47.23543527025808, 11.89661835648963 47.235321543356, 11.89644449178917 47.23518976612424, 11.8962841031977 47.23504120764958, 11.89613873537017 47.23487729863134, 11.89600978830336 47.23469961760297, 11.89589850385215 47.23450987572988, 11.89580595376892 47.23430990033008, 11.89573302938109 47.23410161727593, 11.89568043300638 47.23388703244714, 11.89564867118854 47.23366821241291, 11.89563804981857 47.23344726452977, 11.89564867118854 47.23322631664664, 11.89568043300638 47.2330074966124, 11.89573302938109 47.23279291178361, 11.89580595376892 47.23258462872947, 11.89589850385215 47.23238465332966, 11.89600978830336 47.23219491145657, 11.89613873537017 47.23201723042821, 11.8962841031977 47.23185332140996, 11.89644449178917 47.2317047629353, 11.89661835648963 47.23157298570354, 11.89680402286281 47.23145925880146, 11.89699970281777 47.2313646774813, 11.89720351183006 47.23129015261288, 11.89741348709145 47.23123640191141, 11.8976276064135 47.23120394302554, 11.89784380770273 47.23119308855208, 11.89806000882007 47.23120394302554, 11.89827412763306 47.23123640191141, 11.89848410206779 47.23129015261288, 11.89868790996757 47.2313646774813, 11.89888358856694 47.23145925880146, 11.89906925339354 47.23157298570354, 11.89924311641586 47.2317047629353, 11.89940350326212 47.23185332140996, 11.89954886934444 47.23201723042821, 11.89967781473312 47.23219491145657, 11.89978909763774 47.23238465332966, 11.89988164636538 47.23258462872947, 11.89995456964071 47.23279291178361, 11.90000716518875 47.2330074966124, 11.90003892649753 47.23322631664664, 11.90004954769561 47.23344726452977, 11.90003892649753 47.23366821241291, 11.90000716518875 47.23388703244714, 11.89995456964071 47.23410161727593, 11.89988164636538 47.23430990033008, 11.89978909763774 47.23450987572988, 11.89967781473312 47.23469961760297, 11.89954886934444 47.23487729863134, 11.89940350326212 47.23504120764958, 11.89924311641586 47.23518976612424, 11.89906925339354 47.235321543356, 11.89888358856694 47.23543527025808, 11.89868790996757 47.23552985157824, 11.89848410206779 47.23560437644667, 11.89827412763306 47.23565812714813, 11.89806000882007 47.235690586034, 11.89784380770273 47.23570144050746)","['ElmTr2_0044', 'ElmTr2_0055']"
220.0,Umspannwerk Bisamberg,AT12,AT126,ElmTerm_0008,"LINESTRING (16.37828011763195 48.36429144572678, 16.37766545903511 48.36425997237469, 16.37705671802656 48.364165855424, 16.37645975719768 48.36401000127238, 16.37588032574184 48.36379391088054, 16.37532400408135 48.36351966531704, 16.37479615011802 48.36318990571661, 16.37430184762515 48.36280780784445, 16.37384585727839 48.36237705151195, 16.37343257079733 48.36190178513807, 16.37306596864001 48.36138658579778, 16.37274958165797 48.36083641514239, 16.37248645708184 48.36025657161605, 16.37227912916514 48.35965263942889, 16.3721295947696 48.35903043477802, 16.37203929412736 48.35839594983437, 16.37200909696559 48.35775529503478, 16.37203929412736 48.35711464023518, 16.3721295947696 48.35648015529153, 16.37227912916514 48.35585795064066, 16.37248645708184 48.3552540184535, 16.37274958165797 48.35467417492716, 16.37306596864001 48.35412400427177, 16.37343257079733 48.35360880493148, 16.37384585727839 48.3531335385576, 16.37430184762515 48.3527027822251, 16.37479615011802 48.35232068435295, 16.37532400408135 48.35199092475251, 16.37588032574184 48.35171667918902, 16.37645975719768 48.35150058879717, 16.37705671802656 48.35134473464556, 16.37766545903511 48.35125061769487, 16.37828011763195 48.35121914434277, 16.3788947742908 48.35125061769487, 16.37950350955988 48.35134473464556, 16.38010046106837 48.35150058879717, 16.38067987998108 48.35171667918902, 16.38123618635771 48.35199092475251, 16.38176402288382 48.35232068435295, 16.38225830645619 48.3527027822251, 16.3827142771263 48.3531335385576, 16.3831275439307 48.35360880493148, 16.38349412716754 48.35412400427177, 16.38381049671235 48.35467417492716, 16.38407360600462 48.3552540184535, 16.38428092137819 48.35585795064066, 16.38443044645333 48.35648015529153, 16.3845207413561 48.35711464023518, 16.38455093657989 48.35775529503478, 16.3845207413561 48.35839594983437, 16.38443044645333 48.35903043477802, 16.38428092137819 48.35965263942889, 16.38407360600462 48.36025657161605, 16.38381049671235 48.36083641514239, 16.38349412716754 48.36138658579778, 16.3831275439307 48.36190178513807, 16.3827142771263 48.36237705151195, 16.38225830645619 48.36280780784445, 16.38176402288382 48.36318990571661, 16.38123618635771 48.36351966531704, 16.38067987998108 48.36379391088054, 16.38010046106837 48.36401000127238, 16.37950350955988 48.364165855424, 16.3788947742908 48.36425997237469, 16.37828011763195 48.36429144572678)","['ElmTr2_0050', 'ElmTr2_0061']"
220.0,Umspannwerk Greifenstein,AT12,AT126,ElmTerm_0065,"LINESTRING (16.24079041199981 48.35849868158602, 16.24062133866219 48.35849003031877, 16.24045389345001 48.35846415983344, 16.24028968895837 48.35842131927694, 16.24013030657637 48.35836192122726, 16.23997728125703 48.35828653772009, 16.23983208673431 48.35819589473981, 16.23969612132967 48.35809086522787, 16.23957069448473 48.35797246067587, 16.23945701414981 48.3578418213844, 16.23935617514991 48.35770020548123, 16.23926914864017 48.35754897680493, 16.23919677275228 48.35738959177033, 16.23913974452211 48.35722358534243, 16.23909861317623 48.35705255625388, 16.23907377484205 48.35687815160831, 16.2390654687325 48.35670205101778, 16.23907377484205 48.35652595042725, 16.23909861317623 48.35635154578168, 16.23913974452211 48.35618051669314, 16.23919677275228 48.35601451026525, 16.23926914864017 48.35585512523063, 16.23935617514991 48.35570389655433, 16.23945701414981 48.35556228065118, 16.23957069448473 48.35543164135969, 16.23969612132967 48.3553132368077, 16.23983208673431 48.35520820729576, 16.23997728125703 48.35511756431548, 16.24013030657637 48.3550421808083, 16.24028968895837 48.35498278275862, 16.24045389345001 48.35493994220213, 16.24062133866219 48.3549140717168, 16.24079041199981 48.35490542044955, 16.24095948519209 48.3549140717168, 16.24112692997386 48.35493994220213, 16.24129113376653 48.35498278275862, 16.24145051520789 48.3550421808083, 16.24160353938107 48.35511756431548, 16.24174873259613 48.35520820729576, 16.24188469658187 48.3553132368077, 16.24201012195122 48.35543164135969, 16.24212380081055 48.35556228065118, 16.24222463839154 48.35570389655433, 16.24231166359363 48.35585512523063, 16.24238403833534 48.35601451026525, 16.24244106562488 48.35618051669314, 16.2424821962718 48.35635154578168, 16.24250703417557 48.35652595042725, 16.24251534013979 48.35670205101778, 16.24250703417557 48.35687815160831, 16.2424821962718 48.35705255625388, 16.24244106562488 48.35722358534243, 16.24238403833534 48.35738959177033, 16.24231166359363 48.35754897680493, 16.24222463839154 48.35770020548123, 16.24212380081055 48.3578418213844, 16.24201012195122 48.35797246067587, 16.24188469658187 48.35809086522787, 16.24174873259613 48.35819589473981, 16.24160353938107 48.35828653772009, 16.24145051520789 48.35836192122726, 16.24129113376653 48.35842131927694, 16.24112692997386 48.35846415983344, 16.24095948519209 48.35849003031877, 16.24079041199981 48.35849868158602)",[]
110.0,Umspannwerk Stockerau,AT12,AT126,ElmTerm_0066,"LINESTRING (16.20595757447826 48.3952439652338, 16.20578847123007 48.39523531396655, 16.20562099639564 48.39520944348123, 16.20545676285536 48.39516660292473, 16.20529735227804 48.39510720487505, 16.20514429988822 48.39503182136787, 16.20499907968053 48.39494117838759, 16.20486309022378 48.39483614887565, 16.20473764119114 48.39471774432366, 16.20462394074659 48.39458710503218, 16.20452308390878 48.39444548912902, 16.20443604200456 48.39429426045272, 16.20436365331387 48.3941348754181, 16.20430661499582 48.39396886899021, 16.20426547637413 48.39379783990167, 16.20424063364625 48.3936234352561, 16.20423232606743 48.39344733466557, 16.20424063364625 48.39327123407504, 16.20426547637413 48.39309682942947, 16.20430661499582 48.39292580034092, 16.20436365331387 48.39275979391302, 16.20443604200456 48.39260040887842, 16.20452308390878 48.39244918020212, 16.20462394074659 48.39230756429895, 16.20473764119114 48.39217692500748, 16.20486309022378 48.39205852045549, 16.20499907968053 48.39195349094354, 16.20514429988822 48.39186284796326, 16.20529735227804 48.39178746445609, 16.20545676285536 48.39172806640641, 16.20562099639564 48.39168522584991, 16.20578847123007 48.39165935536458, 16.20595757447826 48.39165070409733, 16.20612667758139 48.39165935536458, 16.20629415198623 48.39168522584991, 16.20645838482889 48.39172806640641, 16.20661779446736 48.39178746445609, 16.2067708457132 48.39186284796326, 16.20691606461573 48.39195349094354, 16.20705205265631 48.39205852045549, 16.20717750021617 48.39217692500748, 16.20729119918794 48.39230756429895, 16.20739205460957 48.39244918020212, 16.20747909520862 48.39260040887842, 16.20755148275534 48.39275979391302, 16.20760852013454 48.39292580034092, 16.20764965805861 48.39309682942947, 16.20767450035689 48.39327123407504, 16.20768280779067 48.39344733466557, 16.20767450035689 48.3936234352561, 16.20764965805861 48.39379783990167, 16.20760852013454 48.39396886899021, 16.20755148275534 48.3941348754181, 16.20747909520862 48.39429426045272, 16.20739205460957 48.39444548912902, 16.20729119918794 48.39458710503218, 16.20717750021617 48.39471774432366, 16.20705205265631 48.39483614887565, 16.20691606461573 48.39494117838759, 16.2067708457132 48.39503182136787, 16.20661779446736 48.39510720487505, 16.20645838482889 48.39516660292473, 16.20629415198623 48.39520944348123, 16.20612667758139 48.39523531396655, 16.20595757447826 48.3952439652338)",[]
110.0,Umspannwerk Hollabrunn,AT12,AT125,ElmTerm_0139,"LINESTRING (16.07103939657265 48.56115837990094, 16.07087017806169 48.56114972863368, 16.07070258907558 48.56112385814836, 16.07053824359404 48.56108101759186, 16.07037872436384 48.56102161954218, 16.07022556765579 48.56094623603501, 16.07008024846909 48.56085559305473, 16.06994416632557 48.56075056354278, 16.06981863179092 48.56063215899079, 16.06970485385239 48.56050151969932, 16.06960392827475 48.56035990379615, 16.06951682704674 48.56020867511985, 16.06944438901944 48.56004929008524, 16.06938731182701 48.55988328365735, 16.06934614516744 48.5597122545688, 16.06932128550812 48.55953784992322, 16.0693129722673 48.55936174933269, 16.06932128550812 48.55918564874217, 16.06934614516744 48.5590112440966, 16.06938731182701 48.55884021500805, 16.06944438901944 48.55867420858016, 16.06951682704674 48.55851482354555, 16.06960392827475 48.55836359486925, 16.06970485385239 48.55822197896609, 16.06981863179092 48.5580913396746, 16.06994416632557 48.55797293512262, 16.07008024846909 48.55786790561067, 16.07022556765579 48.5577772626304, 16.07037872436384 48.55770187912321, 16.07053824359404 48.55764248107354, 16.07070258907558 48.55759964051704, 16.07087017806169 48.55757377003171, 16.07103939657265 48.55756511876446, 16.07120861493964 48.55757377003171, 16.07137620349933 48.55759964051704, 16.07154054828844 48.55764248107354, 16.07170006658677 48.55770187912321, 16.07185322215933 48.5577772626304, 16.07199854005057 48.55786790561067, 16.07213462078843 48.55797293512262, 16.07226015386124 48.5580913396746, 16.07237393033794 48.55822197896609, 16.07247485450992 48.55836359486925, 16.07256195444247 48.55851482354555, 16.07263439133428 48.55867420858016, 16.07269146759484 48.55884021500805, 16.07273263356197 48.5590112440966, 16.07275749279489 48.55918564874217, 16.07276580589173 48.55936174933269, 16.07275749279489 48.55953784992322, 16.07273263356197 48.5597122545688, 16.07269146759484 48.55988328365735, 16.07263439133428 48.56004929008524, 16.07256195444247 48.56020867511985, 16.07247485450992 48.56035990379615, 16.07237393033794 48.56050151969932, 16.07226015386124 48.56063215899079, 16.07213462078843 48.56075056354278, 16.07199854005057 48.56085559305473, 16.07185322215933 48.56094623603501, 16.07170006658677 48.56102161954218, 16.07154054828844 48.56108101759186, 16.07137620349933 48.56112385814836, 16.07120861493964 48.56114972863368, 16.07103939657265 48.56115837990094)",[]
110.0, ,AT13,AT130,ElmTerm_0380,"LINESTRING (16.43814794013676 48.1824852440098, 16.43797903744759 48.18247659274255, 16.43781176123887 48.18245072225722, 16.43764772247819 48.18240788170073, 16.43748850095866 48.18234848365104, 16.43733563008425 48.18227310014387, 16.43719058210172 48.18218245716358, 16.43705475392148 48.18207742765164, 16.4369294536638 48.18195902309965, 16.43681588806014 48.18182838380817, 16.43671515083081 48.18168676790501, 16.43662821215106 48.18153553922871, 16.43655590930693 48.1813761541941, 16.436498938631 48.18121014776621, 16.43645784879573 48.18103911867766, 16.43643303552887 48.18086471403209, 16.43642473780199 48.18068861344156, 16.43643303552887 48.18051251285103, 16.43645784879573 48.18033810820547, 16.436498938631 48.18016707911691, 16.43655590930693 48.18000107268902, 16.43662821215106 48.17984168765442, 16.43671515083081 48.17969045897811, 16.43681588806014 48.17954884307495, 16.4369294536638 48.17941820378347, 16.43705475392148 48.17929979923149, 16.43719058210172 48.17919476971954, 16.43733563008425 48.17910412673925, 16.43748850095866 48.17902874323208, 16.43764772247819 48.1789693451824, 16.43781176123887 48.17892650462591, 16.43797903744759 48.17890063414058, 16.43814794013676 48.17889198287332, 16.43831684267902 48.17890063414058, 16.43848411845268 48.17892650462591, 16.43864815650685 48.1789693451824, 16.43880737707559 48.17902874323208, 16.43896024679145 48.17910412673925, 16.4391052934522 48.17919476971954, 16.43924112019823 48.17929979923149, 16.43936641896438 48.17941820378347, 16.43947998307651 48.17954884307495, 16.43958071887162 48.17969045897811, 16.4396676562296 48.17984168765442, 16.43973995791519 48.18000107268902, 16.43979692764032 48.18016707911691, 16.43983801676908 48.18033810820547, 16.43986282960089 48.18051251285103, 16.43987112718086 48.18068861344156, 16.43986282960089 48.18086471403209, 16.43983801676908 48.18103911867766, 16.43979692764032 48.18121014776621, 16.43973995791519 48.1813761541941, 16.4396676562296 48.18153553922871, 16.43958071887162 48.18168676790501, 16.43947998307651 48.18182838380817, 16.43936641896438 48.18195902309965, 16.43924112019823 48.18207742765164, 16.4391052934522 48.18218245716358, 16.43896024679145 48.18227310014387, 16.43880737707559 48.18234848365104, 16.43864815650685 48.18240788170073, 16.43848411845268 48.18245072225722, 16.43831684267902 48.18247659274255, 16.43814794013676 48.1824852440098)",[]
110.0,Umspannwerk Kraftwerk Donaustadt,AT13,AT130,ElmTerm_0406,"LINESTRING (16.4644464354526 48.20162137835019, 16.46427755565422 48.20161272708294, 16.46411030211563 48.20158685659761, 16.46394628558611 48.20154401604112, 16.46378708564467 48.20148461799144, 16.46363423548751 48.20140923448427, 16.4634892071619 48.20131859150398, 16.46335339738895 48.20121356199204, 16.4632281141117 48.20109515744005, 16.4631145638981 48.20096451814857, 16.46301384032028 48.20082290224541, 16.46292691342205 48.2006716735691, 16.46285462037601 48.2005122885345, 16.46279765742042 48.20034628210661, 16.4627565731534 48.20017525301806, 16.46273176324906 48.20000084837248, 16.46272346664664 48.19982474778195, 16.46273176324906 48.19964864719143, 16.4627565731534 48.19947424254585, 16.46279765742042 48.19930321345731, 16.46285462037601 48.19913720702941, 16.46292691342205 48.19897782199481, 16.46301384032028 48.19882659331851, 16.4631145638981 48.19868497741534, 16.4632281141117 48.19855433812386, 16.46335339738895 48.19843593357187, 16.4634892071619 48.19833090405993, 16.46363423548751 48.19824026107965, 16.46378708564467 48.19816487757247, 16.46394628558611 48.19810547952279, 16.46411030211563 48.1980626389663, 16.46427755565422 48.19803676848097, 16.4644464354526 48.19802811721372, 16.46461531510387 48.19803676848097, 16.46478256820678 48.1980626389663, 16.4649465840288 48.19810547952279, 16.46510578301809 48.19816487757247, 16.46525863201505 48.19824026107965, 16.46540365901701 48.19833090405993, 16.46553946735372 48.19843593357187, 16.46566474913732 48.19855433812386, 16.46577829785727 48.19868497741534, 16.46587901999884 48.19882659331851, 16.46596594557342 48.19897782199481, 16.46603823745926 48.19913720702941, 16.46609519946271 48.19930321345731, 16.46613628302223 48.19947424254585, 16.46616109249089 48.19964864719143, 16.4661693889462 48.19982474778195, 16.46616109249089 48.20000084837248, 16.46613628302223 48.20017525301806, 16.46609519946271 48.20034628210661, 16.46603823745926 48.2005122885345, 16.46596594557342 48.2006716735691, 16.46587901999884 48.20082290224541, 16.46577829785727 48.20096451814857, 16.46566474913732 48.20109515744005, 16.46553946735372 48.20121356199204, 16.46540365901701 48.20131859150398, 16.46525863201505 48.20140923448427, 16.46510578301809 48.20148461799144, 16.4649465840288 48.20154401604112, 16.46478256820678 48.20158685659761, 16.46461531510387 48.20161272708294, 16.4644464354526 48.20162137835019)",[]
